,Price,Bed,Bath,Toilet,Built or Serviced,Property Type,Area,Purchase Type,Parking Space,Security,Electricity,Furnished,Security Doors,CCTV,BQ,Gym,Pool
26220,300000.0,1.0,1.0,1.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
26222,450000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26223,250000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26224,300000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26225,700000.0,1.0,2.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26226,300000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26227,1100000.0,3.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26228,650000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26229,650000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26230,450000.0,1.0,2.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26231,800000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26232,300000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26234,600000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26235,450000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26236,1000000.0,3.0,4.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26237,650000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26238,700000.0,1.0,2.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26240,2000000.0,3.0,3.0,4.0,Furnished,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
26241,300000.0,1.0,1.0,1.0,Serviced,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26242,300000.0,1.0,1.0,1.0,Newly Built,Self contain,Ajah,rent,0,0,0,0,0,0,0,0,0
26243,500000.0,1.0,2.0,2.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
26245,300000.0,1.0,1.0,1.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
26246,800000.0,2.0,3.0,3.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
26247,300000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26248,650000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26249,1200000.0,0.0,0.0,0.0,Furnished,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
